Verträglichkeit,Histamin,Andere Amine,Liberator,Blocker,Zutat,Anmerkungen,
0,,,,,"Süssrahm, Süßrahm (wenn ohne Zusatzstoffe)",,"Unfermentiert, ohne Zusatzstoffe. Vorsicht: meist mit unverträglichen Verdickungsmitteln/Stabilisatoren, z.B. E407, E410!"
0,,,,,Topfen,,
0,,,?,,"UHT-Milch, Up-Milch, H-Milch, Haltbarmilch",,Grundsätzlich verträglich. Wird meist sehr lange und ungekühlt gelagert.
0,,,?,,Ziegenmilch,,
0,H!,,,,Ente,,
0,,,,,"Faschiertes (=Hackfleisch), bei Verzehr unmittelbar nach
Herstellung",,Sehr stark von der Frische abhängig!!!
2,H,A,,,"Faschiertes (=Hackfleisch), Offenverkauf oder unter
Schutzatmosphäre",,Sehr stark von der Frische abhängig!!!
0,H!,,,,Geflügelfleisch,,
3,H,?,?,,geräucherter Fisch,,
3,H,?,?,,geräuchertes Fleisch,,
0,,,,,"Hackfleisch, bei Verzehr unmittelbar nach Herstellung",,Sehr stark von der Frische abhängig!!!
2,H,A,,,"Hackfleisch, Offenverkauf oder unter Schutzatmosphäre",,Sehr stark von der Frische abhängig!!!
0,H!,,,,Hähnchen,,
0,H!,,,,"Hendl, Hühnchen",,
0,H!,,,,Huhn,,
2,H!,,L,,Innereien,,
0,H!,,,,"Kalbfleisch, frisch",,
0,H!,,,,Poulet,,
0,H!,,,,Pute,,
3,H,?,?,,Räucherfleisch,,
3,H,?,?,,Rauchfleisch,,
0,H!,,,,"Rindfleisch, frisch",,
3,H,A,?,,Rohschinken,,
3,H,A,?,,Salami,,
1,H!,,?,,"Schweinefleisch, frisch, unbehandelt",,"Umstritten. Kann auch gut verträglich sein. Sehr verderblich.
Histaminliberator-->Juckreiz?"
0,H!,,,,"Strauss, Strauß",,
3,H,A,?,,Trockenfleisch,,
0,H!,,,,Trute,,
0,H!,,,,Wachtel,,
1,H,?,,,Wildbret,,Fleischreifung. Frisches Wildschwein ist verträglich.
1,H,?,,,Wildfleisch,,Fleischreifung. Frisches Wildschwein ist verträglich.
3,H,?,?,,Wurstwaren,,Wenige halbwegs verträgliche Ausnahmen sind möglich.
0,,,,,"Zunge, Rindszunge, Kalbszunge",,"Bei fixfertig gekochter und gewürzter Zunge auf unverträgliche Zusatzstoffe
achten! Keine geräucherten Produkte!"
3,H,A,,,"Anchovis, Sardellen-Konserven",,
3,H!,A,,,"Fisch, ""Frischfisch"" vom Kühlregal / auf Eis",,Sehr stark von Frische und Art abhängig!!!
0,H!,A,,,"Fisch, fangfrisch oder tiefgekühlt",,Sehr stark von Frische und Art abhängig!!!
0,H!,,,,"Forellen (Süsswasser): Seeforelle, Bachforelle,
Regenbogenforelle, Lachsforelle",,Verderblich. Rasche Histaminbildung.
3,H,A,,,"Sardellen-Konserven, Sardellenpaste, Anchovis",,
3,H,A,,,Thunfisch,,
2,H!,,L,,Austern,,
2,H!,,L,,Crevetten,,
2,H!,,L,,Garnelen,,
2,H!,,L,,Hummer,,
2,H!,,L,,Krabben,,
2,H!,,L,,Krebse,,
2,H!,,L,,Krevetten,,
2,H!,,L,,Krustentiere und Schalentiere,,"(z.B. Muscheln, Austern, Krebse, Krabben, Hummer, Krevetten, Garnelen,
Langusten)"
2,H!,,L,,Langusten,,
2,H!,,L,,Meeresfrüchte (=wirbellose Meerestiere),,
2,H!,,L,,"Muscheln (Miesmuschel, Austern, Venusmuschel,
Kammmuschel, Jakobsmuschel, ...)",,
0,,,,,Schmalz: Schweineschmalz,,
0,,,,,Amarant,"Kann evtl. vereinzelt Durchfall verursachen. Gemeint ist das Pseudogetreide Amarant (meist ohne ""h"" geschrieben) aus der Pflanzengattung Amaranthus. Nicht verwechseln mit dem Azofarbstoff Amaranth (mit ""h"" geschrieben), ein künstlicher Lebensmittelfarbstoff.",
1,?,,,,Backwaren,"Problematisch: Malz, Hefegärung/Sauerteig bei langer Teigführungszeit, evtl.
ATI-Getreide, Jodzusatz, etc.",
1,?,,,,Brot,"Problematisch: Malz, Hefegärung/Sauerteig bei langer Teigführungszeit, evtl.
ATI-Getreide, Jodzusatz, Glutenzusatz",
2,,?,?,,Buchweizen,"Nur unverträglich, wenn nicht gründlich geschält?",
0,,,!,,"Cornflakes (ohne Malz, Folsäure oder andere Zusätze)","Vorsicht bei Malz, Folsäure",
0,,,?,,Dinkel,"Alte Sorten verträglich, moderne ATI-Sorten evtl. nur mässig verträglich.",
0,,,,,"Edelkastanien, frisch oder tiefgekühlt",,
0,,,,,"Erdäpfel, frisch geerntet, mit Schale",Dunkel lagern! Grüne Stellen sind giftig!,
0,,,,,"Erdäpfel, gelagert, geschält",Dunkel lagern! Grüne Stellen sind giftig!,
0,,,,,"Erdäpfel, gelagert, mit Schale","Dunkel lagern! Grüne Stellen sind giftig! Evtl. unverträglich bei Salicylsäure-
Unverträglichkeit",
0,,,,,"Esskastanien, frisch oder tiefgekühlt",,
1,,,,,Gerste,,
2,?,?,?,,"Gerstenmalz, Malz",,
0,,,,,Hafer,Einige Sorten können manchmal nur halbwegs verträglich sein.,
0,,,,,Hanfproteinpulver,Die legale nicht psychoaktive Unterart!,
0,,,,,Hanfsamen (Cannabis sativa),Die legale nicht psychoaktive Unterart!,
0,,,,,Hirse,,
0,,,,,"KAMUT®, Khorasan-Weizen","Alte Sorten sind verträglich (z.B. die Marke KAMUT®), moderne ATI-Sorten
evtl. nur mässig verträglich.",
0,,,,,"Kartoffel, frisch geerntet, mit Schale",Dunkel lagern! Grüne Stellen sind giftig!,
0,,,,,"Kartoffel, gelagert, geschält",Dunkel lagern! Grüne Stellen sind giftig!,
0,,,,,"Kartoffel, gelagert, mit Schale","Dunkel lagern! Grüne Stellen sind giftig! Evtl. unverträglich bei Salicylsäure-
Unverträglichkeit",
0,,,,,"Khorasan-Weizen, KAMUT®","Alte Sorten sind verträglich (z.B. die Marke KAMUT®), moderne ATI-Sorten
evtl. nur mässig verträglich.",
0,,,,,"Kukuruz, getrocknet: Maisgriess, Maisgrieß, Maismehl,
Maisdunst",,
0,,,,,"Kukuruz: Mais aus der Dose, Dosenmais","Schwer verdaulich. Evtl. unverträglich bei zu langer Lagerung oder in
grossen Mengen?",
0,,,,,"Kukuruz: Maiskörner, Maiskolben frisch/pasteurisiert",Schwer verdaulich.,
0,,,,,"Mais aus der Dose, Dosenmais","Schwer verdaulich. Evtl. unverträglich bei zu langer Lagerung oder in
grossen Mengen?",
0,,,,,"Mais, getrocknet: Maisgriess, Maisgrieß, Maismehl,
Maisdunst",,
0,,,,,"Mais: Maiskörner, Maiskolben frisch/pasteurisiert",Schwer verdaulich.,
0,,,,,Maltodextrin,,
2,?,?,?,,"Malz, Gerstenmalz",,
0,,,,,"Maroni, Marroni, Maronen, frisch oder tiefgekühlt",,
0,,,,,Perlsago,,
0,,,,,Quinoa,Evtl. nicht einwandfrei verträglich?,
0,,,,,Reis,Gekocht max. 12-24 h bei 4°C haltbar,
0,,,,,Reisnudeln,"Etwas schlechter verträglich als frisch gekochter Reis. Gekocht max. 12-24 h
bei 4°C haltbar.",
0,,,,,"Reiswaffeln, Reis-Mais-Waffeln",Etwas schlechter verträglich als frisch gekochter Reis.,
0,,,,,Rice Crispies,"Vorsicht bei Malz, Folsäure",
1,,,,,Roggen,Nur knapp verträglich,
0,,,,,Sago,,
2,,,L,,Sonnenblumenkerne,,
0,,,,,"Süsskartoffel, Süßkartoffel",,
1,?,,?,,Weizen,Uneinheitlich. Vorwiegend Verdauungsprobleme wie Blähungen.,
2,,A,L,,Weizenkeime,"Putrescin, Spermin, Spermidin, Cadaverin",
0,,,,,Wildreis,Wildreis ist botanisch nicht mit dem Reis verwandt.,
3,,A,L,,Baumnuss,,
1,,A,L,,Cashewnüsse,,
0,,,,,Erdmandel (Cyperus esculentus),"Eigentlich keine Nuss, sondern Wurzelknolle (Verdickungen der Stolonen)",
2,,,?,,"Erdmandel, geröstet",,"Eigentlich keine Nuss, sondern Wurzelknolle (Verdickungen der Stolonen)"
2,,,,,"Erdnüsse, Erdnuss",,
1,,,L,,Haselnuss,,
0,,,,,Macadamia-Nuss,,
1,,,,,Mandeln,,Kleine Mengen gut verträglich. Kann z.B. Schlafprobleme verursachen.
3,,,,,Nüsse,,Unterschiedlich. Siehe die einzelnen Arten.
0,,,,,Paranuss,,Max. 1-2 Nüsse pro Tag gut als Selenquelle geeignet
1,,,?,,Pinienkerne,,Mehrere Arten. Vielleicht nicht alle gleich gut verträglich?
0,,,,,Pistazie,,
2,,,,,Spanische Nüssli (=Erdnuss),,
0,,,,,Tigernuss (Cyperus esculentus),,"Eigentlich keine Nuss, sondern Wurzelknolle (Verdickungen der Stolonen)"
3,,A,L,,Walnuss,,
2,,,?,,Baumnussöl,,
0,,,,,"Distelöl, Färberdistelöl, Safloröl",,
0,,,,,"Kokosfett, Kokosöl, Kokosnussfett, Kokosnussöl",,Sehr empfehlenswert
0,,,,,"Kokosöl, Kokosfett",,Sehr empfehlenswert
0,,,,,Kürbiskernöl,,"Pflanzenöl aus den gerösteten Kernen des Steirischen Ölkürbisses, einer
lokalen Sorte des Gartenkürbis."
0,,,,,Margarine (wenn ohne unverträgliche Zusatzstoffe),,Auf unverträgliche Zusatzstoffe achten!
0,,,,,Olivenöl,,Unverträglich bei Salicylat-Unverträglichkeit
0,,,,,"Palmfett, Palmöl",,"Sollte aus ökologischen Gründen nicht gekauft werden. Ansonsten
empfehlenswert."
0,,,,,Palmkernöl,,"Sollte aus ökologischen Gründen nicht gekauft werden. Ansonsten
empfehlenswert."
0,,,,,"Palmöl, Palmfett",,"Sollte aus ökologischen Gründen nicht gekauft werden. Ansonsten
empfehlenswert."
0,,,,,Rapsöl,,
0,,,,,"Safloröl, Distelöl, Färberdistelöl",,
0,,,,,Schwarzkümmelöl (Nigella sativa),,Positive Wirkung: antiallergische Eigenschaften
1,,,,,Sonnenblumenöl,,"Einmalig unproblematisch, aber langfristig entzündungsfördernd."
2,,,?,,Walnussöl,,
2,,,,,Ackerbohne (Vicia faba),,
0,,,,,Ackersalat,,
0,,,,,Artischocke,,
2,H,?,?,,Aubergine,,
2,H,,L,,Avocado,,
?,,,,,Bambussprossen,,
0,,,,,Blattsalate,,Bewertung gilt für die Blätter ohne Sauce
0,,,?,,"Blaukabis, Blaukraut",,
0,,,,,Bleichsellerie,,
0,,,,,Blumenkohl,,
2,,,L,,"Bohnen, diverse Arten",,"Gilt für praktisch alle Arten/Sorten. Evtl. halbwegs verträgliche Ausnahmen
möglich."
2,,,,,Bohnen: Borlotti-Bohnen,,
1,,,,,"Bohnen: Buschbohnen, Grüne Bohnen",,Kann in einigen Fällen gut verträglich sein.
2,H,?,?,,Brennnessel,,
0,,,,,"Broccoli, Brokkoli",,
1,,,L,,Brüsseler Kohl,,
1,,,,,"Buschbohnen, Grüne Bohnen",,Kann in einigen Fällen gut verträglich sein.
?,,,,,Chayote,,Möglicherweise nicht einwandfrei verträglich
0,,,,,Chicorée (Cichorium intybus),,
2,,,?,,"Chili, rot, frisch",,Reizende Schärfe
0,,,,,Chinakohl,,
2,H,?,,,"Cornichons, eingelegt",,
0,,,,,Eisbergsalat,,
0,,,,,"Endiviensalat, Endivie (Cichorium endivia)",,
1,,,,,Erbsen: Gartenerbsen,,
1,,,,,Erbsen: gelbe Spalterbse,,
1,,,,,Erbsen: grüne Spalterbse,,
2,H,?,,,Essiggemüse,,
2,H,?,,,"Essiggurken, eingelegt",,
2,,,,,Favabohne (Vicia faba),,
0,,,,,Feldsalat,,
0,,,,,Fenchel,,
1,,,,,"Fisolen, Buschbohne (Phaseolus vulgaris var. nanus)",,Kann in einigen Fällen gut verträglich sein.
1,,,,,Gartenerbsen,,
1,,,,,Gelbe Spalterbse,,
2,H,?,,,"Gewürzgurken, eingelegt",,
1,,,,,Grüne Spalterbse,,
0,,,,,Gurken: Salatgurke,,
?,,,,,Herbstrübe,,
2,,,L,,"Hülsenfrüchte (Soja, Bohnen, Erbsen, Linsen...)",,
1,,,,,Kaiserschote,,
0,,,,,"Kappes, Kraut, Weißkohl",,
0,,,,,"Karfiol, Blumenkohl",,
0,,,,,Karotte,,
1,,,,,Kefen,,
2,,,L,,"Kelp (Seetang, Riesentang, eine Alge)",,z.B. als Zutat in Kräutersalz
2,,,,,Kichererbse,,
1,,,,,Kiefelerbse,,
1,,,,,Knoblauch,,"In kleinen Mengen meist gut verträglich, wenn gekocht."
0,,,,,Knollensellerie,,
1,,,,,Kohlrabi,,
0,,,,,"Kohlsorten (außer Rosenkohl, Kohlrabi)",,
1,,,L,,"Kohlsprossen, Rosenkohl",,
1,,,?,,Krautstiele (Beta vulgaris subsp. vulgaris),,
1,,,L,,"Kren, Meerrettich",,
?,,,?,,Kresse: Gartenkresse (Lepidium sativum),,
0,,,,,"Kürbisse, div. Sorten",,
1,,,?,,Lauch,,In kleineren Mengen meist gut verträglich.
2,,,,,Linsen,,
1,,,?,,Mangold,,
1,,,L,,Meerrettich,,
2,H,?,?,,"Melanzani, Melanzana",,
0,,,,,"Möhre, Mohrrübe",,
?,,,,,"Mungbohnen, Mungobohnen (-keimlinge/-sprossen)",,"Keimlinge der Mung-Bohne werden oft fälschlich als ""Sojasprossen""
bezeichnet."
0,,,,,"Nüsslisalat, Nüssler",,
2,?,?,,,Oliven,,"Von Natur aus vermutlich verträglich, aber meist fermentiert."
0,,,,,Pak Choi,,
0,,,,,"Paprika, Peperoni, milde Sorten",,
2,,,,,"Paprika, Peperoni, scharfe Sorten",,
2,H,,L,,"Paradeiser, Tomaten",,
0,,,,,Pastinaken,,
0,,,,,"Peperoni, Paprika, milde Sorten",,
2,,,,,"Peperoni, Paprika, scharfe Sorten",,
1,,,?,,Porree,,In kleineren Mengen meist gut verträglich.
?,,,,,Räbe,,
0,,,,,Radieschen,,
0,,,,,Randen,,
0,,,,,"Rettich: Bierrettich, mild",,
1,,,L,,Rosenkohl,,
0,,,,,"Rote Bete, Rote Beete",,
0,,,?,,Rotkohl,,
2,,,L,,Rucola,,
0,,,,,Rüebli,,
2,,,L,,Rukola,,
0,,,,,Salat: Blattsalate,,Bewertung gilt für die Blätter ohne Sauce
2,H,?,,,"Salzgurken, eingelegt",,
2,,,,,Saubohne (Vicia faba),,
3,H,,,,Sauerkraut,,
2,,,L,,"Schmalblättriger Doppelsame, Rucola",,
2,,,,,Schweinsbohne (Vicia faba),,
0,,,,,Sellerie: Knollensellerie,,
0,,,,,Senfkohl,,
2,,,,,"Soja (Sojabohne, Sojamehl)",,
?,,,,,"Sojasprossen [irrtümliche Bezeichnung. Korrekt: Mung-
Sprossen]",,"Keimlinge der Mung-Bohne werden oft fälschlich als ""Sojasprossen"" bezeichnet."
0,,,,,Spargel,,
?,,,,,Speiserübe,,
2,,,,,Spinat,,
1,,,L,,"Sprossenkohl, Rosenkohl",,
0,,,,,Stangensellerie,,
2,H,,L,,Tomaten,,
0,,,,,Vogerlsalat,,
0,,,,,"Weisskohl, Weisskabis, Weisskraut, Weißkohl, Weißkabis,
Weißkraut",,
1,,,?,,"Welschkohl, Welschkraut, Wirsing",,
2,,,L,,Wilde Rauke,,
1,,,?,,"Wirsing, Wirz, Wirsingkohl, Welschkohl, Welschkraut, (österr.:
Kohl)",,
0,,,,,"Zeller, Knollensellerie",,
0,,,,,"Zichorie: Salatzichorie, Chicorée",,
0,,,,,"Zucchini, Zucchetti",,
1,,,,,"Zuckererbse, Zuckerschote",,
0,,,,,"Zwiebel: Weisse Zwiebel, Weiße Zwiebel",,Schneeweisse Schale (NICHT die Küchenzwiebel)
1,,,L,,Zwiebeln: alle Sorten außer Weiße Zwiebel,,In grossen Mengen unverträglich
1,,,L,,Bärlauch (Allium ursinum),,Kleine Mengen gut verträglich
0,,,,,Basilikum,,
2,,,,,Bockshornklee,,
0,,,,,Bohnenkraut,,
1,,,,,Dill,,Kleine Mengen meist kein Problem. Stark salicylathaltig.
2,,,,,Kleesorten (Trigonella- und Trifolium-Arten),,"Z.B. Bockshornklee, Schabzigerklee, ..."
0,,,,,Oregano,,
0,,,,,Petersilie,,
0,,,,,Pfefferminze,,Unverträglich bei Salicylat-Unverträglichkeit
0,,,,,Rosmarin,,
0,,,,,Salbei,,
2,,,,,Schabzigerklee,,
1,,,,,Schnittlauch,,In grossen Mengen unverträglich
0,,,,,"Acerola, Acerolapulver, Acerolakirsche, Azerola, Ahornkirsche, Antillenkirsche, Kirsche der Antillen, Puerto- Rico-Kirsche, Westindische Kirsche, Jamaika-Kirsche,
Barbados-Kirsche",,
2,,A,L,,Ananas,,
0,,,,,Apfel,,
0,,,,,Apfel: Golden Delicious,,
0,,,,,Aprikose,,
?,,,,,"Aronia, Apfelbeeren, Filzige Apfelbeere (Aronia arbutifolia),
Schwarze Apfelbeere (Aronia melanocarpa)",,
2,H,,L,,Avocado,,
?,,?,,,Babybanane,,"(Je grüner, desto verträglicher?)"
2,,A,,,Banane,,"(Je grüner, desto verträglicher?)"
?,,,,,Baumtomate (Solanum betaceum),,
1,,A,,,Birne,,
1,,A,,,"Birne, geschält, Konserve in Zuckersirup",,
?,,?,,,Birne: Nashi-Birne,,
0,,,,,Blaubeere (Vaccinium myrtillus),,
0,,,,,"Bocksdorn-Beeren, Goji-Beeren",,
?,,,,,Boysenbeere (Rubus ursinus × idaeus),,
0,,,,,Brombeeren,,
0,,,,,Cassis,,
0,,,,,Cranberry,,
0,,,,,"Datteln, getrocknet",,
0,,,,,"Drachenfrucht, Pitaya, Pitahaya",,
?,,,,,"Dreilappige Papau (Asimina triloba, Indianerbanane)",,
2,,A,L,,Erdbeere,,
1,,,,,"Feigen, frisch oder getrocknet",,Kann leicht abführend wirken
?,,,,,gelbe Granadilla,,
2,,,?,,"Goiaba, Guave, Psidium guajava",,
0,,,,,"Goji-Beeren, Bocksdorn-Beeren",,
0,,,,,Granatapfel (rotes Fleisch ohne Kerne),,
2,,A,L,,Grapefruit,,
0,,,,,"Grossfrüchtige Moosbeere, Großfrüchtige Moosbeere",,
2,,,?,,"Guave, Guava, Guayave, Guayaba",,
1,,,L,,Hagebutte,,
0,,,,,Heidelbeeren,,
2,,,,,Himbeeren,,
0,,,,,"Holler, Schwarzer Holunder",,
0,,,,,"Holunderbeeren, Schwarzer Holunder",,
1,,,L,,"Hunds-Rose, Hundsrose (Rosa canina)",,
0,,,,,"Johannisbeere, rote",,
0,,,,,Jostabeeren,,Hybrid aus Stachelbeere und schwarzer Johannisbeere.
2,,A,L,,"Kakao, Kakaopulver (Schokolade etc.)",,
0,,?,,,Kakaobutter,,Meistens gut verträglich.
0,,,,,Kaki,,
?,,,,,Kaktusfeigen (Opuntia ficus-indica),,Hautkontakt mit den Stacheln vermeiden!
0,,,,,Kirsche,,Umstritten
2,,?,L,,Kiwi,,
0,,,,,"Kokosnuss, Kokosraspel, Kokosmilch",,Wertvolle Selenquelle
0,,,,,Korinthen,,Nur wenn ungeschwefelt (ohne Konservierungsstoffe)!!! Stark salicylathaltig.
0,,,,,Kranbeere (Vaccinium macrocarpon),,
0,,,,,Kronsbeere (Vaccinium vitis-idaea),,
3,,A,L,,Limette,,
2,,A,L,,Limone,,
0,,,,,"Litchi, Litschi",,
?,,,,,Loganbeere,,
2,,,,,Mandarine,,
1,,,?,,Mango,,Umstritten. Wird oft gut vertragen.
?,,,,,Maracuja (Passiflora edulis / flavicarpa),,
0,,,,,Marille,,
?,,,,,Maulbeere,,
0,,,?,,Melonen (außer Wassermelone),,"Verdacht auf gelegentliche Liberatorwirkungen (wegen Schadstoff-
/Pestizidbelastung?)"
?,,?,,,Nashi-Birne,,
0,,,,,Nektarinen,,
0,,,,,Oemeli,,
3,,A,L,,Orangen,,
3,,?,L,,Orangenschale,,
2,,A,L,,Papaya,,
?,,,,,Passionsfrucht,,
?,,,,,"Paw Paw (Asimina triloba, Indianerbanane)",,
0,,,,,Persimone,,
0,,,,,Pfirsich,,
1,,,L,,Pflaumen-Arten,,
0,,,,,"Pitaya, Pitahaya, Drachenfrucht",,
0,,,,,Preiselbeere,,
?,,,,,Purpurgranadilla,,
0,,?,,,Quitten,,
1,,,,,Rhabarber,,Umstritten. Oxalsäure.
0,,,,,"Ribisel, rote",,
0,,,,,Rosinen,,Nur wenn ungeschwefelt (ohne Konservierungsstoffe)!!! Stark salicylathaltig.
0,,,,,"Rote Johannisbeere, Rote Ribisel",,
0,,,,,Sanddorn,,
0,,,,,Sauerkirsche,,
0,,,,,Schwarze Johannisbeere,,
0,,,,,Schwarze Ribisel,,
0,,,,,Schwarzer Holunder,,
0,,,,,Sharonfrucht,,
0,,,,,Stachelbeeren,,
0,,,,,"Sternfrucht, Karambole, Karambola",,
0,,,,,Sultaninen,,Nur wenn ungeschwefelt (ohne Konservierungsstoffe)!!! Stark salicylathaltig.
?,,,,,Tamarillo,,
0,,?,,,"Trauben, Weintrauben",,
1,,,?,,Wassermelonen,Verdacht auf Liberatorwirkung,
0,,,,,Weichselkirsche,,
0,,,,,"Weinbeeren, getrocknet (=Rosinen)",Nur wenn ungeschwefelt (ohne Konservierungsstoffe)!!! Stark salicylathaltig.,
0,,?,,,Weintrauben,,
2,,A,L,,Zitrone,,
2,,?,L,,Zitronenschale,,
2,,A,L,,Zitrusfrüchte,,
1,,,?,,Zwetschge (Prunus domestica subsp. domestica),Besser verträglich als andere Pflaumen,
0,,,,,"Chia-Samen, Mexikanische Chia (Salvia hispanica)",,
0,,,,,"Flohsamen, Flohsamenschalen",Kann sowohl bei Verstopfung wie auch bei Durchfall hilfreich sein.,
0,,,,,Kürbiskerne,,
1,,,,,Sesam,Kann vereinzelt Durchfall verursachen,
3,,,L,,Algen und Algenbestandteile,Extrem jodhaltig,
1,,,,,"Backhefe, Bäckerhefe (frisch / getrocknet)","Kann verträglich sein bei hygienischen Produktionsbedingungen. Ausnahmen: Backwaren mit langer Teigführungszeit, Produkte mit Hefegärung, Hefeextrakt. Enthält viel Glutaminsäure (siehe Glutamat).",
1,,,,,Bierhefe (frisch / getrocknet),"Kann verträglich sein bei hygienischen Produktionsbedingungen. Ausnahmen: Backwaren mit langer Teigführungszeit, Produkte mit Hefegärung, Hefeextrakt. Enthält viel Glutaminsäure (siehe Glutamat).",
3,,,L,,"Braunalgen, Algen",Extrem jodhaltig,
1,,A,,,Champignons,,
2,,,,,Gemeiner Steinpilz (Boletus edulis),,
1,,,,,"Gest, Germ, Hefe (frisch / getrocknet)","Kann verträglich sein bei hygienischen Produktionsbedingungen. Ausnahmen: Backwaren mit langer Teigführungszeit, Produkte mit Hefegärung, Hefeextrakt. Enthält viel Glutaminsäure (siehe Glutamat).",
3,,,L,,"Grünalgen, Algen",Extrem jodhaltig,
1,,,,,Hefe (frisch / getrocknet),"Kann verträglich sein bei hygienischen Produktionsbedingungen. Ausnahmen: Backwaren mit langer Teigführungszeit, Produkte mit Hefegärung, Hefeextrakt. Enthält viel Glutaminsäure (siehe Glutamat).",
3,,,L,,Kombu-Algen,Extrem jodhaltig,
3,,,L,,"Meeresalgen, Meeralgen",Extrem jodhaltig,
2,,,,,Morcheln,,
3,,,L,,Nori-Algen,Extrem jodhaltig,
2,,,,,"Pilze, diverse Arten",,
3,,,L,,"Rotalgen, Algen",Extrem jodhaltig,
2,,,,,Schwammerl,,
3,,,L,,"Seetang, Algen",Extrem jodhaltig,
2,,,,,Steinpilze,,
3,,,L,,Wakame-Algen,Extrem jodhaltig,
0,,,,,"Agavendicksaft, Agavensirup",Hoher Fructose-Gehalt,
0,,,,,Ahornsirup,,
0,,,,,"Birkenzucker, Xylit, Xylitol, E967",,
0,,,,,Caramel,,
0,,,,,Dextrose,"Glucosesirup kann sehr viel Fructose enthalten (nur begrenzt verträglich),
reine Glucose hingegen nicht.",
0,,,,,"E420, Sorbit, Sorbitol","Abführend, harntreibend. Unverträglich bei Sorbit-Intoleranz und
hereditärer (vererbter) Fructoseintoleranz.",
0,,,,,"E967, Xylit, Xylitol, Birkenzucker",,
0,,,,,Fruchtzucker,Verdauungsbeschwerden bei zu grossen Mengen,
0,,,,,Fructose,Verdauungsbeschwerden bei zu grossen Mengen,
0,,,,,gebrannter Zucker,,
